2021-05-07,919,5,356216,10974
2021-05-06,907,5,355297,10969
2021-05-05,915,5,354390,10964
2021-05-04,797,16,353475,10959
2021-05-03,798,1,352678,10943
2021-05-02,1006,9,351880,10942
2021-05-01,1101,7,350874,10933
2021-04-30,1041,13,349773,10926
2021-04-29,1042,10,348732,10913
2021-04-28,1094,7,347690,10903
2021-04-27,899,10,346596,10896
2021-04-26,889,8,345697,10886
2021-04-25,1014,9,344808,10878
2021-04-24,1106,13,343794,10869
2021-04-23,1043,11,342688,10856
2021-04-22,1248,7,341645,10845
2021-04-21,1217,6,340397,10838
2021-04-20,1136,16,339180,10832
2021-04-19,1092,15,338044,10816
2021-04-18,1344,8,336952,10801
2021-04-17,1537,8,335608,10793
2021-04-16,1527,7,334071,10785
2021-04-15,1513,15,332544,10778
2021-04-14,1559,7,331031,10763
2021-04-13,1490,12,329472,10756
2021-04-12,1599,2,327982,10744
2021-04-11,1535,5,326383,10742
2021-04-10,1754,13,324848,10737
2021-04-09,1683,6,323094,10724
